PlantNum,WTM_X,WTM_Y,AY,Course,Density,Bed,PlotID,Row,RowID,OldLocFt,NewLoc,NewLocFt,NewLocIn,NewLocDecFt,NewLocM,PlotLen,PlotLenFt,PlotLenIn,PlotLenDecFt,PlotLen_m,RelativePos,FrontX_WTM,BackX_WTM,FrontY_WTM,BackY_WTM
119,556093.234,405077.1522,1,5,Low,1,L-511,2,L-511-2,17'10,18'3,18,3,18.25,5.5626,20'7,20,7,20.5833,6.2738,0.886639676,556093.2336,556093.2341,405071.6658,405077.8537
120,556093.7291,405073.3932,0,5,Low,1,L-511,3,L-511-3,5'5,5'9,5,9,5.75,1.7526,20'5,20,5,20.4167,6.223,0.281632653,556093.725,556093.7397,405071.6451,405077.852
121,556093.7305,405073.9759,0,5,Low,1,L-511,3,L-511-3,7'4,7'8,7,8,7.6667,2.3368,20'5,20,5,20.4167,6.223,0.375510204,556093.725,556093.7397,405071.6451,405077.852
122,556093.7363,405076.4333,1,5,Low,1,L-511,3,L-511-3,15'4,15'9,15,9,15.75,4.8006,20'5,20,5,20.4167,6.223,0.771428571,556093.725,556093.7397,405071.6451,405077.852
123,556103.6144,405082.5567,1,4,Low,7,L-417,1,L-417-1,3'4,4'1,4,1,4.0833,1.2446,20'4,20,4,20.3333,6.1976,0.200819672,556103.6149,556103.6124,405081.3216,405087.4718
124,556103.6137,405084.2959,0,4,Low,7,L-417,1,L-417-1,9'2,9'10,9,10,9.8333,2.9972,20'4,20,4,20.3333,6.1976,0.483606557,556103.6149,556103.6124,405081.3216,405087.4718
125,556103.6134,405084.9512,0,4,Low,7,L-417,1,L-417-1,11'3,12'0,12,0,12,3.6576,20'4,20,4,20.3333,6.1976,0.590163934,556103.6149,556103.6124,405081.3216,405087.4718
126,556103.613,405086.0603,1,4,Low,7,L-417,1,L-417-1,15'0,15'8,15,8,15.6667,4.7752,20'4,20,4,20.3333,6.1976,0.770491803,556103.6149,556103.6124,405081.3216,405087.4718
127,556104.1396,405081.5972,1,4,Low,7,L-417,2,L-417-2,0'0,0'11,0,11,0.9167,0.2794,20'5,20,5,20.4167,6.223,0.044897959,556104.1415,556104.0989,405081.3212,405087.4689
128,556104.6922,405081.6726,1,4,Low,7,L-417,3,L-417-3,0'5,1'3,1,3,1.25,0.381,20'6,20,6,20.5,6.2484,0.06097561,556104.7025,556104.5343,405081.2965,405087.4646
129,556104.6697,405082.5,0,4,Low,7,L-417,3,L-417-3,3'2,4'0,4,0,4,1.2192,20'6,20,6,20.5,6.2484,0.195121951,556104.7025,556104.5343,405081.2965,405087.4646
